"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-24",,,,,"0.0","T,,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-25",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-26",,,,,"5.6",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-27",,,,,"1.8",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-28",,,,,"1.3",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-29",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-06-30",,,,,"0.0","T,,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-01",,,,,"4.8",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-02",,,,,"2.8",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-03",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-04",,,,,"2.5",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-05",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-06",,,,,"5.1",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-07",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-08",,,,,"0.0","T,,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-09",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-10",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-11",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-12",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-13",,,,,"0.0","T,,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-14",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-15",,,,,"0.5",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-16",,,,,"0.0","T,,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-17",,,,,"0.5",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-18",,,,,"2.0",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-19",,,,,"0.0","T,,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-20",,,,,"0.3",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-21",,,,,"1.5",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-22",,,,,"0.0",",,N","0.0",",,N",,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-23",,,,,"0.8",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-24",,,,,"0.3",",,N",,,,,,,,
"US1COCF0055","SALIDA 1.8 SSW, CO US","38.5089","-106.0147","2311.6","2022-07-25",,,,,"0.5",",,N",,,,,,,,
