"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"781E4B78 2022-01-19 14:33:00","781E4B78","2022-01-19","14:33:00",7,410804.084343452,4261666.24415855,410727.316763413,410880.851923491,4261589.85832578,4261742.62999131
"781E4B78 2022-01-19 14:36:00","781E4B78","2022-01-19","14:36:00",7,410841.366417827,4261667.34110626,410790.158739038,410892.574096615,4261619.56680326,4261715.11540927
"781E4B78 2022-01-19 14:39:00","781E4B78","2022-01-19","14:39:00",7,410842.328726746,4261654.59161936,410763.32107564,410921.336377851,4261582.87519287,4261726.30804586
"781E4B78 2022-01-19 14:42:00","781E4B78","2022-01-19","14:42:00",7,410829.520511461,4261660.71355734,410756.992944289,410902.048078633,4261593.83885754,4261727.58825713
"781E4B78 2022-01-19 14:45:00","781E4B78","2022-01-19","14:45:00",7,410836.777413308,4261654.4963427,410755.437833352,410918.116993264,4261580.89922345,4261728.09346195
"781E4B78 2022-01-19 14:48:00","781E4B78","2022-01-19","14:48:00",7,410843.925664085,4261665.5094658,410780.816888364,410907.034439806,4261607.0144982,4261724.0044334
"781E4B78 2022-01-19 14:51:00","781E4B78","2022-01-19","14:51:00",7,410860.849639344,4261586.10003663,410749.931129626,410971.768149061,4261486.90310407,4261685.29696919
"781E4B78 2022-01-19 14:54:00","781E4B78","2022-01-19","14:54:00",6,410848.262725848,4261676.40276304,410785.792050592,410910.733401103,4261607.54750221,4261745.25802387
"781E4B78 2022-01-19 14:57:00","781E4B78","2022-01-19","14:57:00",7,410864.487499619,4261634.95229537,410783.637461769,410945.337537469,4261558.60067025,4261711.3039205
"781E4B78 2022-01-19 15:00:00","781E4B78","2022-01-19","15:00:00",7,410875.875429478,4261590.33805037,410765.636607684,410986.114251272,4261489.32512616,4261691.35097457
"781E4B78 2022-01-19 15:03:00","781E4B78","2022-01-19","15:03:00",6,410855.750586845,4261673.89598171,410774.940498446,410936.560675244,4261587.1292246,4261760.66273882
"781E4B78 2022-01-19 15:06:00","781E4B78","2022-01-19","15:06:00",7,410864.805552819,4261619.60519451,410767.702305639,410961.908799998,4261525.00685771,4261714.20353131
"781E4B78 2022-01-19 15:09:00","781E4B78","2022-01-19","15:09:00",7,410850.913658522,4261667.51021135,410783.153927916,410918.673389128,4261604.7710895,4261730.2493332
"781E4B78 2022-01-19 15:12:00","781E4B78","2022-01-19","15:12:00",6,410850.173518622,4261691.61367292,410791.293445537,410909.053591708,4261622.94065951,4261760.28668634
"781E4B78 2022-01-19 15:15:00","781E4B78","2022-01-19","15:15:00",7,410849.355374167,4261677.33675571,410801.481373101,410897.229375234,4261631.86932887,4261722.80418254
"781E4B78 2022-01-19 15:18:00","781E4B78","2022-01-19","15:18:00",6,410849.945176485,4261697.2419031,410803.318390108,410896.571962862,4261641.16673718,4261753.31706903
"781E4B78 2022-01-19 15:21:00","781E4B78","2022-01-19","15:21:00",6,410845.307126117,4261694.98151574,410775.81817886,410914.796073374,4261610.94551727,4261779.01751421
"781E4B78 2022-01-19 15:24:00","781E4B78","2022-01-19","15:24:00",7,410880.311909319,4261610.29914787,410769.128203804,410991.495614835,4261502.54488914,4261718.0534066
"781E4B78 2022-01-19 15:27:00","781E4B78","2022-01-19","15:27:00",7,410871.240940708,4261601.91602316,410745.159794677,410997.32208674,4261480.66827834,4261723.16376797
"781E4B78 2022-01-19 15:30:00","781E4B78","2022-01-19","15:30:00",7,410860.069836135,4261645.92664835,410763.68995357,410956.449718699,4261557.02731437,4261734.82598234
"781E4B78 2022-01-19 15:33:00","781E4B78","2022-01-19","15:33:00",7,410856.802980145,4261666.37956755,410788.721300875,410924.884659414,4261603.77411587,4261728.98501923
"781E4B78 2022-01-19 15:36:00","781E4B78","2022-01-19","15:36:00",7,410843.685188333,4261694.78001313,410802.61950012,410884.750876546,4261652.52552962,4261737.03449664
"781E4B78 2022-01-19 15:39:00","781E4B78","2022-01-19","15:39:00",7,410845.592834122,4261662.16849502,410767.199229585,410923.986438659,4261590.06700371,4261734.26998633
"781E4B78 2022-01-19 15:42:00","781E4B78","2022-01-19","15:42:00",7,410845.830499495,4261665.86763769,410777.610484808,410914.050514183,4261602.66127917,4261729.0739962
"781E4B78 2022-01-19 15:45:00","781E4B78","2022-01-19","15:45:00",7,410849.899434025,4261668.64830524,410783.906240676,410915.892627374,4261607.35304801,4261729.94356247
"781E4B78 2022-01-19 15:48:00","781E4B78","2022-01-19","15:48:00",6,410836.176336676,4261713.86230195,410778.660338888,410893.692334464,4261634.24629216,4261793.47831175
"781E4B78 2022-01-19 15:51:00","781E4B78","2022-01-19","15:51:00",7,410831.331686305,4261694.48430047,410769.534784044,410893.128588567,4261629.28886335,4261759.67973759
"781E4B78 2022-01-19 15:54:00","781E4B78","2022-01-19","15:54:00",7,410831.851403768,4261688.92422252,410769.723446744,410893.979360792,4261625.0826002,4261752.76584484
"781E4B78 2022-01-19 15:57:00","781E4B78","2022-01-19","15:57:00",7,410828.507651444,4261705.83457525,410782.644607367,410874.370695521,4261654.63488493,4261757.03426558
"781E4B78 2022-01-19 16:00:00","781E4B78","2022-01-19","16:00:00",7,410816.224762537,4261704.74240359,410756.231500067,410876.218025007,4261636.58476648,4261772.90004069
"781E4B78 2022-01-19 16:03:00","781E4B78","2022-01-19","16:03:00",7,410823.541450083,4261716.53887653,410763.322137712,410883.760762453,4261645.91457755,4261787.16317551
"781E4B78 2022-01-19 16:06:00","781E4B78","2022-01-19","16:06:00",7,410824.288110906,4261707.6420676,410763.076356131,410885.499865681,4261638.28369424,4261777.00044096
"781E4B78 2022-01-19 16:09:00","781E4B78","2022-01-19","16:09:00",7,410825.483893499,4261692.8146941,410765.898289497,410885.0694975,4261629.70881595,4261755.92057226
"781E4B78 2022-01-19 16:12:00","781E4B78","2022-01-19","16:12:00",7,410811.62351532,4261698.58430008,410736.960821264,410886.286209376,4261615.17108192,4261781.99751824
"781E4B78 2022-01-19 16:15:00","781E4B78","2022-01-19","16:15:00",7,410819.37872625,4261705.52999745,410754.289342784,410884.468109716,4261631.77663925,4261779.28335565
"781E4B78 2022-01-19 16:18:00","781E4B78","2022-01-19","16:18:00",7,410820.934532353,4261686.8980914,410737.281099172,410904.587965534,4261599.85188821,4261773.94429458
"781E4B78 2022-01-19 16:21:00","781E4B78","2022-01-19","16:21:00",7,410831.914726653,4261684.06526604,410739.844920764,410923.984532543,4261591.47486682,4261776.65566527
"781E4B78 2022-01-19 16:24:00","781E4B78","2022-01-19","16:24:00",7,410821.626217775,4261691.65606664,410739.523623181,410903.72881237,4261604.49279759,4261778.81933568
"781E4B78 2022-01-19 16:27:00","781E4B78","2022-01-19","16:27:00",7,410837.134636361,4261717.45174951,410793.776230158,410880.493042563,4261667.38324301,4261767.52025601
"781E4B78 2022-01-19 16:30:00","781E4B78","2022-01-19","16:30:00",7,410833.910574003,4261730.61369769,410797.086349386,410870.73479862,4261686.50577667,4261774.72161871
"781E4B78 2022-01-19 16:33:00","781E4B78","2022-01-19","16:33:00",7,410821.552942602,4261707.85669406,410762.604027544,410880.501857661,4261640.68683039,4261775.02655774
"781E4B78 2022-01-19 16:36:00","781E4B78","2022-01-19","16:36:00",7,410822.570176172,4261713.77898511,410757.007271015,410888.133081328,4261637.49816491,4261790.05980532
"781E4B78 2022-01-19 16:39:00","781E4B78","2022-01-19","16:39:00",7,410825.091509373,4261708.38404857,410753.02013061,410897.162888136,4261626.58490897,4261790.18318817
"781E4B78 2022-01-19 16:42:00","781E4B78","2022-01-19","16:42:00",7,410833.030142595,4261709.92014549,410771.798019921,410894.262265268,4261640.8862354,4261778.95405558
"781E4B78 2022-01-19 16:45:00","781E4B78","2022-01-19","16:45:00",7,410831.541838153,4261723.23838875,410773.485407382,410889.598268924,4261654.52469587,4261791.95208163
"781E4B78 2022-01-19 16:48:00","781E4B78","2022-01-19","16:48:00",7,410826.258965972,4261717.88375857,410761.526431993,410890.991499951,4261641.93842314,4261793.82909399
"781E4B78 2022-01-19 16:51:00","781E4B78","2022-01-19","16:51:00",7,410826.063452993,4261705.41593626,410749.83364633,410902.293259655,4261620.10523134,4261790.72664118
"781E4B78 2022-01-19 16:54:00","781E4B78","2022-01-19","16:54:00",7,410822.995693858,4261724.31201052,410760.820353966,410885.17103375,4261649.71871636,4261798.90530468
"781E4B78 2022-01-19 16:57:00","781E4B78","2022-01-19","16:57:00",7,410822.329789955,4261737.21179475,410760.722220152,410883.937359759,4261661.99387582,4261812.42971369
"781E4B78 2022-01-19 17:00:00","781E4B78","2022-01-19","17:00:00",7,410820.11318152,4261726.86311076,410756.621597369,410883.60476567,4261649.95159377,4261803.77462776
"781E4B78 2022-01-19 17:03:00","781E4B78","2022-01-19","17:03:00",7,410813.875125709,4261730.9047328,410712.840195561,410914.910055858,4261606.38171942,4261855.42774617
"781E4B78 2022-01-19 17:06:00","781E4B78","2022-01-19","17:06:00",6,410837.826645693,4261738.19354186,410737.513603329,410938.139688058,4261613.40537453,4261862.98170919
"781E4B78 2022-01-19 17:09:00","781E4B78","2022-01-19","17:09:00",6,410862.202633076,4261739.18977569,410780.684107797,410943.721158354,4261636.50642333,4261841.87312805
"781E4B78 2022-01-19 17:12:00","781E4B78","2022-01-19","17:12:00",6,410860.925283338,4261740.17362043,410779.609272663,410942.241294013,4261638.03496539,4261842.31227546
"781E4B78 2022-01-19 17:15:00","781E4B78","2022-01-19","17:15:00",6,410860.388685824,4261756.98359773,410793.584124518,410927.19324713,4261679.15031251,4261834.81688294
"781E4B78 2022-01-19 17:18:00","781E4B78","2022-01-19","17:18:00",6,410836.494851218,4261775.60495646,410766.097797795,410906.891904641,4261694.93287197,4261856.27704094
"781E4B78 2022-01-19 17:21:00","781E4B78","2022-01-19","17:21:00",5,410824.133534401,4261774.82572613,410715.813917019,410932.453151783,4261666.11527268,4261883.53617957
"781E4B78 2022-01-19 17:24:00","781E4B78","2022-01-19","17:24:00",6,410734.695339668,4261802.65673962,410458.89622358,411010.494455756,4261456.44770932,4262148.86576993
"781E4B78 2022-01-19 17:27:00","781E4B78","2022-01-19","17:27:00",6,410803.288994688,4261785.06779212,410722.548257918,410884.029731459,4261689.67021372,4261880.46537052
"781E4B78 2022-01-19 17:30:00","781E4B78","2022-01-19","17:30:00",6,410837.188965119,4261756.0029271,410751.41819634,410922.959733898,4261651.39533081,4261860.6105234
"781E4B78 2022-01-19 17:33:00","781E4B78","2022-01-19","17:33:00",5,410817.87608289,4261733.47832241,410666.428950291,410969.323215489,4261573.39506976,4261893.56157507
"781E4B78 2022-01-19 17:36:00","781E4B78","2022-01-19","17:36:00",5,410836.717198267,4261730.30476087,410689.572153082,410983.862243453,4261577.08734743,4261883.52217432
"781E4B78 2022-01-19 17:39:00","781E4B78","2022-01-19","17:39:00",6,410758.07289709,4261744.67906903,410584.456623566,410931.689170615,4261483.58060517,4262005.77753289
"781E4B78 2022-01-19 17:42:00","781E4B78","2022-01-19","17:42:00",3,410811.537733894,4261688.98302562,410022.418772506,411600.656695281,4260904.40847369,4262473.55757754
"781E4B78 2022-01-19 17:45:00","781E4B78","2022-01-19","17:45:00",4,410713.919197733,4261675.1810879,410239.791567637,411188.04682783,4261061.02752049,4262289.33465531
"781E4B78 2022-01-19 17:48:00","781E4B78","2022-01-19","17:48:00",5,410767.621995485,4261777.00726196,410509.361197068,411025.882793902,4261523.35123103,4262030.66329288
"781E4B78 2022-01-19 17:51:00","781E4B78","2022-01-19","17:51:00",4,410713.158138994,4261676.92348888,410289.911823546,411136.404454443,4261129.67871256,4262224.16826519
